user_id,name,review_count,yelping_since,fans,average_stars,correo
j4cmflYbwAktOxZ_iiJCOQ,Danielle,236,2009-08-09 13:37:21,44,3.81,danielle975@gmail.com
pou3BbKsIozfH50rxmnMew,Brett,2812,2012-01-11 17:19:55,914,4.28,brett1242@gmail.com
3ywXGq4PyUoR_XXDvK_RIA,Toni,729,2006-06-13 03:44:01,77,4.2,toni1857@gmail.com
rTJ3EecGoQNbfFj7mqjDmw,Elizabeth,529,2009-03-18 03:49:43,37,3.74,elizabeth1936@gmail.com
G6uiBIcMc21mxtIsR6K_3w,Irene,486,2009-12-14 01:40:43,106,3.38,irene2079@gmail.com
2ZI7f2CRul38wb_1X1lR7g,Talisha,636,2009-05-22 00:20:08,25,4.06,talisha2227@gmail.com
6WO37S7VmuAojpNwH0d8pw,Kali-Carmella,3,2010-06-21 00:30:24,1,5.0,kali-carmella2738@gmail.com
PsXhJHX255QM8FRw-dvh-w,Philay,98,2011-10-19 20:53:20,6,3.31,philay3077@gmail.com
n1pp7Kqj9p9HQACdbabkFQ,Christine,567,2010-07-09 17:38:35,70,4.41,christine3141@gmail.com
kGqyCRaiWj0j6U2Trhvolg,Simone,206,2010-10-08 15:03:41,7,3.75,simone3612@gmail.com
fLDGqfH_QJE5TN2ajHzNjA,Bridgette,176,2011-04-03 17:53:31,29,4.48,bridgette4506@gmail.com
2iS1vg5TYpV_iEiNC8osTg,Peter,1672,2009-04-13 15:21:41,65,3.47,peter4851@gmail.com
5R3m-2idPFpYq0oRwCK0TQ,Krystle,286,2010-05-09 23:21:16,36,4.07,krystle5004@gmail.com
UG-youCyFG_PhFIq1IcWAw,Amanda,20,2010-08-04 00:14:45,5,3.96,amanda5548@gmail.com
s7cUp9ma9h9FYN-fa0FtgA,Mary,483,2010-05-05 20:29:13,41,4.31,mary5712@gmail.com
tNzsN_B6skDGIbMnVkpzcQ,Phil,51,2010-09-16 12:47:49,15,4.69,phil6044@gmail.com
lU_alQOUlNoUZBbTBtfpFA,Virginia,26,2012-04-22 20:34:09,2,4.78,virginia6073@gmail.com
-49VO6EnRppS5vehdRJmJQ,Mariam,31,2010-10-15 22:16:08,0,3.58,mariam6506@gmail.com
O3nhfuz6W4wlmIQgM_Oo2g,Tiff,2221,2012-01-21 14:56:13,353,3.86,tiff6603@gmail.com
m7y36VHp_UTqAdSR_2DNJw,Samantha,207,2011-01-20 21:09:44,7,4.12,samantha6849@gmail.com
CYtKqfxO78q8MN6HX2JnDg,Jamie,491,2011-01-26 11:29:11,59,3.88,jamie6970@gmail.com
HtewfIDJCsL3b4AY0Ukefg,Angus,238,2010-07-21 22:27:44,35,3.99,angus7072@gmail.com
iUjBfJdGBZ8b76Gf_f7jSQ,Poch,28,2010-12-08 20:09:10,1,3.15,poch7159@gmail.com
0CL7ncIULe96NbkFCMi6cQ,Carolyn,67,2008-12-17 00:58:57,9,4.38,carolyn7186@gmail.com
Nxr5C4m0edwetAeRUacP6A,Christopher,614,2008-07-11 15:42:09,29,3.86,christopher7285@gmail.com
XKJTyp7H0qpU_8IorWo9jw,Denise,24,2013-03-20 18:30:42,1,4.09,denise7567@gmail.com
bsG-AXDSb0_wbKH4rp4uXA,Tiffany,50,2010-12-10 20:59:35,3,3.28,tiffany7577@gmail.com
KXVZqQdcVpa-ZaIdrDpQPQ,Courtney,816,2011-04-08 22:17:28,70,4.06,courtney7834@gmail.com
IKbjLnfBQtEyVzEu8CuOLg,Erica,800,2010-01-02 04:59:57,64,3.87,erica8648@gmail.com
3p0DtqP2Px5tFpwHZeMJmw,Neen,188,2010-04-23 19:48:47,11,4.1,neen8705@gmail.com
Zn8tgekH0oCfyk4SUtygoA,Dave,1635,2008-03-23 22:55:48,177,4.03,dave8855@gmail.com
t9Qrz3zLtOnlmEeKfDCtFA,Tracy,198,2011-02-28 14:00:10,32,4.37,tracy9090@gmail.com
xFoNdQVA8dHxd_mZBFA6Pw,Victoria,205,2011-07-10 06:13:13,26,3.85,victoria9174@gmail.com
CfHKItb0j43Cm6e6L6hhcw,Ron,106,2011-04-26 00:42:13,7,4.66,ron9577@gmail.com
mVA4IeYyVKPUWRrN5oplMA,Nat,2715,2009-08-07 15:10:14,126,3.74,nat9672@gmail.com
xBvaQwMU9Gsh3SYBa6CTWQ,Jennifer,276,2006-04-28 12:55:43,18,4.02,jennifer10250@gmail.com
qjfMBIZpQT9DDtw_BWCopQ,Rachel,2331,2010-08-29 12:44:25,278,4.08,rachel11451@gmail.com
1p4qUDvqd-L7ZHGVJc-fsQ,Lisa,42,2010-05-11 19:14:10,4,4.0,lisa11810@gmail.com
IOKgLAJw-78aJoEeNbFlvQ,Roshelle,40,2010-06-22 19:11:50,0,4.28,roshelle11905@gmail.com
UN96iuwF3MOGI8srZyK7lg,Shari,16,2012-08-11 23:59:54,0,3.44,shari12680@gmail.com
D2wWsR58zfPJP1kk3zK0Yg,Cassie,558,2011-11-27 16:15:04,54,4.14,cassie12690@gmail.com
nR9klq6eOdBuA_cSZW3HqQ,Julie,114,2010-06-30 02:24:34,5,4.45,julie13525@gmail.com
WNsAImC1ioixNP_2lOAZ4Q,Ryan,69,2007-06-22 01:55:16,3,4.62,ryan13997@gmail.com
akUC5qP68u0_frTwHLl61w,Stephanie,606,2012-08-23 00:47:47,17,4.14,stephanie14162@gmail.com
RSiAjwwTz0giMP3MFlh6cw,Beth,49,2010-07-01 22:57:36,0,4.63,beth15127@gmail.com
UcbWBh4PCXCkZjMZs22c9Q,Pam,66,2009-09-14 14:34:40,0,4.31,pam15162@gmail.com
06EqUxXTBeJkVjblcV2xNw,Nicole,21,2012-03-24 14:32:13,1,3.67,nicole15297@gmail.com
Um5bfs5DH6eizgjH3xZsvg,Dianna,3322,2011-12-05 05:09:41,203,3.84,dianna15926@gmail.com
LRtIiDOWqOw62wNDvpiSNg,Sabine,292,2010-08-20 12:50:11,21,4.12,sabine15935@gmail.com
0QAA-pBx8GUKDfNTFMilGg,April,43,2011-02-03 11:02:08,3,4.02,april16128@gmail.com
BJNxQGG3dx5uLxINGA5kDg,James,244,2011-06-18 23:19:44,41,3.76,james16163@gmail.com
vffKQc_WQMYFGY4JS5VAOw,michelle,1191,2005-04-26 22:37:47,68,3.9,michelle16165@gmail.com
8GkqY7KeV-JqAB2dBj2m1g,Raul,62,2010-08-08 19:57:40,1,3.89,raul16852@gmail.com
ZhswCS-i9dmeDuKf70sc1w,Natalie,71,2009-05-02 16:38:09,3,4.34,natalie17310@gmail.com
Xn1oFBaCjjxhG_QLoiCUlw,Eve,22,2011-03-15 22:06:51,0,4.18,eve17979@gmail.com
nLA8xOLGSCmOJC4GaTadEQ,Lee,78,2011-09-19 02:36:41,1,4.06,lee18043@gmail.com
the52iBr5PCJahoGPITZBw,Misty,156,2011-07-04 17:54:51,30,3.87,misty18275@gmail.com
rWGCN2pRLRpcybVn8825_Q,Magdalini,75,2011-01-07 01:28:17,1,2.88,magdalini18781@gmail.com
RTQlPtMr4zQKo_qvsY61sg,Alicia,15,2011-08-01 18:20:46,0,3.82,alicia18859@gmail.com
qeaY4gmjjAMlkB6y0RJJjw,Cassandra,35,2011-04-01 14:35:34,2,3.95,cassandra18967@gmail.com
vENFxTIJyPK7mXpJgJxnMg,Kika,12,2009-11-24 22:32:25,1,3.46,kika19106@gmail.com
